# Australian postcodes of the "Solar home electricity" dataset
# located with [Google Maps Geocoding API](https://developers.google.com/maps/documentation/geocoding/start)
# Pierre Haessig, May 2017
postcode,lat,lng,dlat_km,dlng_km,area_km2
2278,-32.9351373,151.548643,10.730532811053317,7.912314270711526,84.90334789323543
2280,-33.0223311,151.6713386,7.986453291825931,8.285135083392426,66.16884435998195
2281,-33.1170985,151.6362736,11.868990948010815,6.38134503321045,75.74012643530861
2282,-32.9648241,151.6479611,5.322890018982587,3.542356727693412,18.855575269515082
2283,-33.050132,151.5953736,23.56638588522449,13.848476482994284,326.3585407206998
2284,-32.9524472,151.6187438,7.014187092231488,6.311124876964658,44.26741064946654
2285,-32.9110348,151.6187438,9.180464414135589,9.383040015178082,86.14066495575264
2286,-32.8995067,151.5720067,6.0540633786263145,6.694866878824673,40.53114839587071
2289,-32.9481404,151.7064109,3.5445384376631757,6.327005928512264,22.42631570893451
2290,-32.9754667,151.712257,7.704251687494695,7.667514992333952,59.072465318579724
2291,-32.9497012,151.744414,3.3770455196589753,4.135951265898003,13.967295692028717
2292,-32.9225853,151.7341816,2.823917476558079,2.3684709649452094,6.688366550629154
2293,-32.9153665,151.7575709,1.9153659699304928,1.2309347056283981,2.3576904463670423
2294,-32.9123334,151.7663428,2.3360386164122846,1.6671755955743717,3.8945865716018817
2295,-32.8674273,151.7999723,7.795498244299708,6.339407400126607,49.41883925758754
2296,-32.9125002,151.7458759,1.416879113782885,1.54300055891247,2.1862452644783965
2300,-32.9272155,151.7795013,4.915783153550365,4.057959487362732,19.94804888576759
2303,-32.9252332,151.7502614,2.8049921000424463,2.5380455324584106,7.119197668093866
2305,-32.9274242,151.7064109,2.8942593871529683,5.6465912378243965,16.342699695488957
2315,-32.7344109,152.151274,6.333996606454355,9.659976840593691,61.1862605267481
2320,-32.7147232,151.5369624,30.787729125794023,52.034427387521575,1602.0218556228122
2321,-32.6916544,151.4435474,40.502852105713906,45.98769314163444,1862.6327339985733
2324,-32.6400424,151.9111422,30.43983355880144,59.87864302062421,1822.6959272746883
2325,-32.9380528,151.1869325,42.82708182091681,59.75432294969238,2559.103278119963
2326,-32.787791,151.4552213,13.799735176295822,10.973184048568813,151.42703391100326
2330,-32.7319195,150.8609358,113.83456076918822,110.73330116045405,12605.276700122526
