,mean,min,q05,q10,q15,q20,q25,q30,q35,q40,q45,q50,q55,q60,q65,q70,q75,q80,q85,q90,q95,max
15.0,0.7888306010928965,0.204,0.3355,0.43100000000000005,0.48,0.524,0.5875,0.638,0.6895,0.74,0.7745,0.7989999999999999,0.83,0.8540000000000001,0.879,0.899,0.932,0.97,1.008,1.093,1.262,2.472
15.5,0.8195737704918032,0.17800000000000002,0.33799999999999997,0.41300000000000003,0.4875,0.534,0.574,0.615,0.66,0.722,0.758,0.7869999999999999,0.8235000000000001,0.852,0.8825,0.914,0.95,0.992,1.05,1.141,1.4515,3.13
16.0,0.9330765027322396,0.20600000000000002,0.39399999999999996,0.487,0.5485,0.626,0.6785,0.7549999999999999,0.8054999999999998,0.8340000000000001,0.8684999999999999,0.8959999999999999,0.9274999999999998,0.946,0.9865,1.013,1.0515,1.1,1.1589999999999998,1.252,1.712,4.004
16.5,0.9306010928961747,0.226,0.4015000000000001,0.565,0.683,0.742,0.78,0.804,0.8244999999999999,0.846,0.8645,0.8849999999999999,0.912,0.932,0.951,0.976,1.02,1.044,1.1064999999999998,1.216,1.5205000000000002,3.904
17.0,0.9927540983606553,0.2,0.4885,0.62,0.6920000000000001,0.7879999999999999,0.841,0.8740000000000001,0.9015,0.924,0.9464999999999999,0.9740000000000001,1.002,1.018,1.047,1.0639999999999998,1.1015000000000001,1.138,1.1875,1.309,1.6094999999999997,2.958
17.5,1.0042021857923493,0.184,0.46549999999999997,0.63,0.7314999999999999,0.81,0.851,0.899,0.9274999999999999,0.96,0.9904999999999999,1.018,1.0375,1.06,1.0865,1.126,1.156,1.19,1.224,1.283,1.4885,2.6860000000000004
18.0,1.0552841530054642,0.29600000000000004,0.544,0.643,0.7735000000000001,0.836,0.8805000000000001,0.929,0.9655,0.998,1.0225,1.0509999999999997,1.07,1.1059999999999999,1.1264999999999998,1.153,1.187,1.228,1.266,1.3739999999999999,1.5350000000000001,3.158
18.5,1.036005464480874,0.162,0.5385,0.6599999999999999,0.7389999999999999,0.792,0.8750000000000001,0.9099999999999999,0.9475,0.99,1.016,1.04,1.0595,1.088,1.1264999999999998,1.162,1.19,1.224,1.272,1.3319999999999999,1.491,2.826
19.0,0.9824863387978143,0.23199999999999998,0.472,0.593,0.7325000000000002,0.794,0.8350000000000001,0.8759999999999999,0.9115,0.9359999999999999,0.968,0.996,1.0215,1.036,1.0615,1.089,1.1130000000000002,1.1640000000000001,1.2145,1.291,1.416,2.82
19.5,0.9673497267759563,0.23,0.45799999999999996,0.603,0.722,0.8,0.8245000000000001,0.857,0.9000000000000001,0.922,0.9384999999999999,0.976,0.993,1.016,1.0595,1.088,1.1175,1.1520000000000001,1.2075,1.248,1.3875000000000002,2.602
20.0,0.9499453551912563,0.23800000000000002,0.4775,0.592,0.679,0.7559999999999999,0.8049999999999999,0.8430000000000001,0.8795,0.9159999999999999,0.944,0.972,1.006,1.028,1.05,1.067,1.0955,1.136,1.1784999999999999,1.238,1.3245,2.0580000000000003
20.5,0.9410983606557377,0.278,0.46499999999999997,0.5640000000000001,0.6659999999999999,0.758,0.8135,0.847,0.887,0.91,0.9359999999999999,0.966,0.992,1.016,1.038,1.062,1.0859999999999999,1.1159999999999999,1.141,1.19,1.3245,2.5540000000000003
21.0,0.9262622950819673,0.17,0.456,0.5379999999999999,0.6435,0.708,0.7805,0.8340000000000001,0.8579999999999999,0.89,0.9179999999999999,0.951,0.968,0.996,1.01,1.028,1.0495,1.072,1.112,1.17,1.2955,2.526
21.5,0.8767650273224042,0.3,0.4515,0.552,0.5935,0.644,0.6779999999999999,0.718,0.778,0.818,0.8405,0.866,0.8915,0.9279999999999999,0.948,0.972,1.0115,1.05,1.0885,1.1629999999999998,1.2635,3.102
22.0,0.7817486338797819,0.23600000000000002,0.40449999999999997,0.46799999999999997,0.503,0.546,0.5785,0.604,0.6295,0.684,0.716,0.7440000000000001,0.79,0.838,0.8740000000000001,0.911,0.9440000000000001,0.9940000000000001,1.047,1.1069999999999998,1.2175,2.222
22.5,0.6679945355191256,0.29,0.396,0.42300000000000004,0.44699999999999995,0.46799999999999997,0.486,0.519,0.542,0.56,0.578,0.601,0.642,0.6679999999999999,0.699,0.7529999999999999,0.794,0.8420000000000001,0.914,0.983,1.097,2.25
23.0,0.5800601092896176,0.244,0.342,0.377,0.41150000000000003,0.428,0.45399999999999996,0.46699999999999997,0.48,0.5,0.5205,0.5409999999999999,0.5615,0.586,0.6124999999999999,0.6339999999999999,0.6595,0.684,0.726,0.804,0.9195,2.31
23.5,0.5243497267759568,0.172,0.3125,0.35,0.38149999999999995,0.41,0.43200000000000005,0.442,0.45749999999999996,0.474,0.484,0.504,0.5155,0.536,0.55,0.564,0.574,0.6,0.631,0.6769999999999999,0.8105000000000001,2.246
