,mean,min,q05,q10,q15,q20,q25,q30,q35,q40,q45,q50,q55,q60,q65,q70,q75,q80,q85,q90,q95,max
16.5,1.197548387096774,0.528,0.625,0.804,0.835,0.8540000000000001,0.8980000000000001,0.946,0.952,0.9620000000000001,0.9789999999999999,1.002,1.025,1.03,1.044,1.082,1.166,1.224,1.4100000000000001,1.7519999999999998,2.584,3.904
17.0,1.0882580645161293,0.48200000000000004,0.6950000000000001,0.75,0.834,0.882,0.906,0.924,0.95,0.978,0.9969999999999999,1.016,1.032,1.062,1.104,1.15,1.172,1.22,1.3159999999999998,1.564,1.795,2.106
17.5,1.0369032258064517,0.556,0.778,0.8540000000000001,0.891,0.912,0.9209999999999999,0.93,0.96,0.99,1.0030000000000001,1.03,1.0550000000000002,1.0759999999999998,1.134,1.1420000000000001,1.147,1.156,1.1749999999999998,1.242,1.274,1.58
18.0,1.0114193548387098,0.574,0.626,0.758,0.782,0.8240000000000001,0.9269999999999999,0.95,0.978,0.98,0.9909999999999999,1.024,1.033,1.062,1.064,1.084,1.1430000000000002,1.204,1.22,1.236,1.341,1.4480000000000002
18.5,1.0100000000000002,0.528,0.614,0.6759999999999999,0.801,0.878,0.9119999999999999,0.9520000000000001,0.981,0.996,1.017,1.036,1.0430000000000001,1.054,1.077,1.084,1.097,1.1340000000000001,1.1920000000000002,1.232,1.326,1.62
19.0,1.0286451612903225,0.594,0.736,0.804,0.819,0.848,0.9099999999999999,0.9179999999999999,0.953,0.966,1.009,1.024,1.0350000000000001,1.046,1.076,1.088,1.1139999999999999,1.186,1.281,1.2819999999999998,1.3609999999999998,1.544
19.5,1.013225806451613,0.564,0.657,0.8079999999999999,0.8519999999999999,0.912,0.928,0.934,0.976,0.986,0.988,0.9940000000000001,1.015,1.054,1.072,1.0979999999999999,1.1059999999999999,1.138,1.149,1.186,1.238,1.774
20.0,1.0461935483870966,0.528,0.742,0.838,0.856,0.904,0.924,0.9440000000000001,0.9830000000000001,1.006,1.01,1.042,1.0630000000000002,1.07,1.074,1.08,1.108,1.198,1.2229999999999999,1.24,1.423,1.77
20.5,0.9806451612903225,0.5539999999999999,0.6699999999999999,0.8059999999999999,0.852,0.86,0.9,0.9079999999999999,0.925,0.94,0.96,0.9719999999999999,0.9909999999999999,1.01,1.0390000000000001,1.062,1.065,1.084,1.093,1.12,1.282,1.53
21.0,0.9588387096774194,0.506,0.6000000000000001,0.7020000000000001,0.79,0.848,0.862,0.872,0.907,0.95,0.9709999999999999,0.996,1.0110000000000001,1.022,1.038,1.06,1.068,1.07,1.087,1.112,1.2309999999999999,1.456
21.5,0.9541935483870968,0.418,0.669,0.696,0.748,0.784,0.8109999999999999,0.8320000000000001,0.848,0.858,0.8700000000000001,0.9459999999999998,0.958,1.004,1.021,1.038,1.0919999999999999,1.114,1.12,1.1440000000000001,1.2269999999999999,2.0180000000000002
22.0,0.8482580645161291,0.37799999999999995,0.493,0.516,0.561,0.58,0.5840000000000001,0.596,0.637,0.68,0.729,0.7440000000000001,0.85,0.872,0.9179999999999999,0.9620000000000001,1.013,1.024,1.059,1.156,1.439,2.222
22.5,0.7330967741935485,0.396,0.412,0.43200000000000005,0.45499999999999996,0.5,0.528,0.542,0.588,0.6,0.6119999999999999,0.638,0.7009999999999998,0.754,0.795,0.8240000000000001,0.875,0.9620000000000001,1.0150000000000001,1.122,1.3,1.3940000000000001
23.0,0.6506451612903227,0.36,0.364,0.364,0.41000000000000003,0.44,0.481,0.498,0.527,0.544,0.5589999999999999,0.5660000000000001,0.597,0.632,0.638,0.682,0.689,0.748,0.832,0.898,1.012,2.22
23.5,0.5719354838709677,0.326,0.377,0.41600000000000004,0.43,0.446,0.45999999999999996,0.484,0.49200000000000005,0.5,0.5169999999999999,0.5359999999999999,0.548,0.552,0.568,0.594,0.604,0.628,0.659,0.698,0.97,1.3
